id,name,lat,lon
17341001C49ZH,Printer-01,-27.55165,152.7780303
17341002C49ZH,Printer-02,-27.551136,152.7741683
17341003C49ZH,Printer-03,-27.551136,152.7741683
17341004C49ZH,Printer-04,-27.551136,152.7741683
17341005C49ZH,Printer-05,-27.551136,152.7741683
17341007C49ZH,Printer-06,-27.551136,152.7741683
17214005C49ZH,Printer-07,-27.551136,152.7741683
18215001C49ZH,Printer-08,-27.551136,152.7741683
17139021C49ZH,Printer-09,-27.551136,152.7741683
19072001C49ZH,Printer-10,-27.551136,152.7741683
18185004C49ZH,Printer-11,-27.551136,152.7741683
19204008C49ZH,Printer-12,-27.551136,152.7741683
18010029C49ZH,Printer-13,-27.551136,152.7741683
19088022C49ZH,Printer-14,-27.551136,152.7741683
19169001C49ZH,Printer-15,-27.551136,152.7741683
19235001C49ZH,Printer-16,-27.551136,152.7741683
17149010C49ZH,Printer-17,-27.551136,152.7741683
19198003C49ZH,Printer-18,-27.551136,152.7741683
18313001C49ZH,Printer-19,-27.551136,152.7741683
18072001C49ZH,Printer-20,-27.551136,152.7741683
19120003C49ZH,Printer-21,-27.551136,152.7741683
19120004C49ZH,Printer-22,-27.551136,152.7741683
19120006C49ZH,Printer-23,-27.551136,152.7741683
19120027C49ZH,Printer-24,-27.551136,152.7741683
19291024C49ZH,Printer-25,-27.551136,152.7741683
18031001C49ZH,Printer-26,-27.551136,152.7741683
19291001C49ZH,Printer-27,-27.551136,152.7741683
19291011C49ZH,Printer-28,-27.551136,152.7741683
19291012C49ZH,Printer-29,-27.551136,152.7741683
19291014C49ZH,Printer-30,-27.551136,152.7741683
17179059C49ZH,Printer-31,-27.551136,152.7741683
18206057C49ZH,Printer-32,-27.551136,152.7741683
18225015C49ZH,Printer-33,-27.551136,152.7741683
17171008C49ZH,Printer-34,-27.551136,152.7741683
18079013C49ZH,Printer-35,-27.551136,152.7741683
18079019C49ZH,Printer-36,-27.551136,152.7741683
18079027C49ZH,Printer-37,-27.551136,152.7741683
18101025C49ZH,Printer-38,-27.551136,152.7741683
17097014C49ZH,Printer-39,-27.551136,152.7741683
19044002C49ZH,Printer-40,-27.551136,152.7741683
19004006C49ZH,Printer-41,-27.551136,152.7741683
19004010C49ZH,Printer-42,-27.551136,152.7741683
19004014C49ZH,Printer-43,-27.551136,152.7741683
19004016C49ZH,Printer-44,-27.551136,152.7741683
19004017C49ZH,Printer-45,-27.551136,152.7741683
17067002C49ZH,Printer-46,-27.551136,152.7741683
17067003C49ZH,Printer-47,-27.551136,152.7741683
17068007C49ZH,Printer-48,-27.551136,152.7741683
17070003C49ZH,Printer-49,-27.551136,152.7741683
17070004C49ZH,Printer-50,-27.551136,152.7741683
17074003C49ZH,Printer-51,-27.551136,152.7741683
17139065C49ZH,Printer-52,-27.551136,152.7741683
18071002C49ZH,Printer-53,-27.551136,152.7741683
19270002C49ZH,Printer-54,-27.551136,152.7741683
19288001C49ZH,Printer-55,-27.551136,152.7741683
17305006C49ZH,Printer-56,-27.551136,152.7741683
17325011C49ZH,Printer-57,-27.551136,152.7741683
17325012C49ZH,Printer-58,-27.551136,152.7741683
19057002C49ZH,Printer-59,-27.551136,152.7741683
19071002C49ZH,Printer-60,-27.551136,152.7741683
19078004C49ZH,Printer-61,-27.551136,152.7741683
17129025C49ZH,Printer-62,-27.551136,152.7741683
17171050C49ZH,Printer-63,-27.551136,152.7741683
17171057C49ZH,Printer-64,-27.551136,152.7741683
17171060C49ZH,Printer-65,-27.551136,152.7741683
18101002C49ZH,Printer-66,-27.551136,152.7741683
18009001C49ZH,Printer-67,-27.551136,152.7741683
19316002C49ZH,Printer-68,-27.551136,152.7741683
18206060C49ZH,Printer-69,-27.551136,152.7741683
18010001C49ZH,Printer-70,-27.551136,152.7741683
18038012C49ZH,Printer-71,-27.551136,152.7741683
18059009C49ZH,Printer-72,-27.551136,152.7741683
17171049C49ZH,Printer-73,-27.551136,152.7741683
17171058C49ZH,Printer-74,-27.551136,152.7741683
17179025C49ZH,Printer-75,-27.551136,152.7741683
17179026C49ZH,Printer-76,-27.551136,152.7741683
17179035C49ZH,Printer-77,-27.551136,152.7741683
17179040C49ZH,Printer-78,-27.551136,152.7741683
17255002C49ZH,Printer-79,-27.551136,152.7741683
17269002C49ZH,Printer-80,-27.551136,152.7741683
17269005C49ZH,Printer-81,-27.551136,152.7741683
17269006C49ZH,Printer-82,-27.551136,152.7741683
17269009C49ZH,Printer-83,-27.551136,152.7741683
18038007C49ZH,Printer-84,-27.551136,152.7741683
18038008C49ZH,Printer-85,-27.551136,152.7741683
17075008C49ZH,Printer-86,-27.551136,152.7741683
17283005C49ZH,Printer-87,-27.551136,152.7741683
17283007C49ZH,Printer-88,-27.551136,152.7741683
17283009C49ZH,Printer-89,-27.551136,152.7741683
17283010C49ZH,Printer-90,-27.551136,152.7741683
17283012C49ZH,Printer-91,-27.551136,152.7741683
17283018C49ZH,Printer-92,-27.551136,152.7741683
17283020C49ZH,Printer-93,-27.551136,152.7741683
18010007C49ZH,Printer-94,-27.551136,152.7741683
17225005C49ZH,Printer-95,-27.551136,152.7741683
